#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CPU_CYCLES #PERF_COUNT_HW_CACHE_LL_ACCESS_W #PERF_COUNT_HW_CACHE_LL_MISS_W 
18500030818 8245772140 851493 449680 
18600028017 8280568000 851516 449681 
18700030725 8315446127 851674 449701 
18800012124 8356707645 852218 450101 
18900028890 8410439971 858575 454026 
19000028258 8452166866 859090 454130 
19100031709 8492807262 868611 461335 
19200021758 8529196239 868615 461337 
19300030685 8565265211 868615 461337 
19400028674 8605855974 875662 466227 
19500029006 8647617221 876176 466392 
19600030987 8687921239 884615 472262 
19700031270 8722864043 884615 472262 
19800104226 8760870234 887740 474525 
19900021322 8823433848 889154 475101 
20000014790 8884314918 889877 475274 
20100014582 8962286236 889883 475276 
20200013330 9041892846 889993 475313 
20300010008 9120709843 890066 475335 
20400012114 9199471610 890138 475364 
20500012355 9278397915 890212 475394 
20600011441 9357787780 890272 475415 
20700013996 9438400096 890378 475446 
20800002612 9544616789 890741 475729 
20900008593 9638533539 911282 487231 
21000028414 9690724318 921341 497072 
21100028109 9732703889 921676 497162 
21200009710 9772953522 934161 508564 
21300010731 9810400393 934258 508622 
21400030784 9847857992 934265 508626 
21500030223 9885402294 934272 508628 
21600030544 9923055129 934275 508629 
21700028176 9961033064 934287 508632 
21800010298 9999206151 934293 508636 
21900030674 10037171867 934377 508673 
22000030779 10074371599 934379 508674 
22100022175 10111697541 934382 508677 
22200030902 10149056871 934384 508679 
22300031299 10186927642 934385 508679 
22400024060 10226522287 935280 509475 
22500011216 10309931204 935284 509475 
22600003509 10373162906 942714 514474 
22700021844 10421535074 950407 518676 
22800023444 10469570121 957937 522957 
22900028527 10511554702 967300 531224 
23000028340 10553281566 967593 531289 
23100026421 10598003151 987425 541632 
23200031547 10633785805 987494 541642 
23300026776 10670115139 987529 541647 
23400032306 10705622322 987542 541649 
23500025150 10740788396 987611 541686 
23600028001 10773953393 987639 541689 
23700025431 10807750387 988523 541939 
23800000063 10846637709 990483 543341 
23900018518 10888573666 1001962 553289 
24000019479 10930020124 1002412 553506 
24100016297 10971531522 1006867 556757 
24200027853 11015865593 1021390 566156 
24300028436 11057610888 1021774 566227 
24400030810 11103766231 1044905 578292 
24500029507 11139799198 1048004 579312 
24600025467 11176334526 1055093 581584 
24700030199 11212732707 1060776 583335 
24800029682 11249373342 1066220 585159 
24900029857 11285855486 1073587 587549 
25000031423 11322367575 1080347 589654 
25100019372 11358857477 1087344 591987 
25200030216 11395314511 1093698 593855 
25300029847 11431929011 1101610 596241 
25400027037 11467988110 1102269 596402 
25500026917 11504034871 1102503 596413 
25600029924 11540192245 1106964 597586 
25700030159 11576369073 1114124 599396 
25800030080 11612528277 1121145 601209 
25900030140 11648691796 1128323 603093 
26000027601 11684818922 1135479 604980 
26100030331 11721013267 1142335 606598 
26200030283 11757142278 1148977 608127 
26300027394 11793323209 1152364 608783 
26400019252 11831513233 1153145 609230 
26500027776 11897830833 1162420 615938 
26600028335 11939598537 1162740 616001 
26700030978 11981856503 1171562 621479 
26800028885 12018773420 1171584 621498 
26900030060 12054971111 1171587 621499 
27000030131 12091037380 1171587 621499 
27100030831 12127098885 1171587 621499 
27200028001 12167674977 1178317 626077 
27300028337 12209506436 1178886 626187 
27400030759 12249991958 1188188 632843 
27500032003 12285061486 1188188 632843 
27600030467 12319991263 1188188 632843 
27700034967 12359895921 1189710 634007 
27800010634 12399962729 1193050 636508 
27900011584 12459854535 1194487 636998 
28000020240 12517291605 1195823 637458 
28100013335 12597350052 1196066 637471 
28200014947 12677103564 1196139 637500 
28300012206 12756745527 1196208 637529 
28400042267 12836824175 1196306 637556 
28500014824 12916930355 1196399 637604 
28600011501 12997037939 1196504 637630 
28700013637 13077193488 1196610 637655 
28800012173 13156892004 1196697 637687 
28900008900 13236191385 1196771 637713 
29000014895 13316169517 1196858 637743 
29100012281 13396129633 1196930 637768 
29200030084 13516979643 1210807 645378 
29300006189 13608029897 1232238 658821 
29400028515 13659992744 1243137 669602 
29500027942 13701837741 1243573 669715 
29600031521 13741941818 1254964 679948 
29700030955 13779485852 1255090 680052 
29800031599 13817117707 1255100 680059 
29900031246 13854813218 1255106 680060 
30000031496 13892730475 1255113 680063 
30100030258 13930761553 1255118 680065 
30200031761 13968734988 1255180 680108 
30300027296 14005930390 1255191 680119 
30400031541 14043383689 1255195 680121 
30500023596 14080790387 1255197 680122 
30600030120 14118294164 1255204 680128 
30700030384 14155763983 1255207 680128 
30800031288 14193339881 1255211 680130 
30900031614 14230948435 1255216 680132 
31000031787 14268388955 1255218 680133 
31100018942 14305816473 1255218 680133 
31200031213 14343369338 1255221 680136 
31300031204 14381241858 1255223 680137 
31400012136 14438865244 1256584 681398 
31500012718 14523372272 1256591 681400 
31600018687 14596142437 1264705 687800 
31700024565 14644608741 1272295 692542 
31800020911 14693193837 1280220 697647 
31900023400 14741689244 1288054 702710 
32000027810 14787481910 1299649 712099 
32100028084 14829199794 1300151 712246 
32200025277 14872642116 1308037 716564 
32300027858 14913375886 1321040 722330 
32400027604 14949365311 1321091 722335 
32500031059 14985450037 1321118 722352 
32600030811 15020964711 1321118 722352 
32700026796 15056488620 1321118 722352 
32800026922 15092152722 1321130 722357 
32900041375 15127399671 1321200 722413 
33000033325 15160037367 1321236 722421 
33100029161 15193811143 1321237 722422 
33200034621 15226746541 1321238 722423 
33300026247 15262986716 1325011 724451 
33400020414 15306591484 1325098 724497 
33500265489 15342111237 1326247 725104 
33600018863 15383737080 1337415 735462 
33700017210 15425173702 1337823 735527 
33800029076 15469537701 1355177 746603 
33900029149 15511413546 1355515 746699 
34000019420 15556702597 1373097 756554 
34100030953 15594211646 1379686 758781 
34200028329 15630368180 1384482 760132 
34300028483 15667379819 1390462 761954 
34400032012 15704087185 1397207 763933 
34500029950 15740488783 1403126 765950 
34600030549 15776465386 1407656 767268 
34700031083 15812046562 1410462 768128 
34800030649 15846921966 1410506 768139 
34900028141 15882097517 1412123 768665 
35000028047 15918163589 1419446 770580 
35100026568 15954271634 1427279 772568 
35200031296 15990339969 1434413 774341 
35300025734 16026356662 1441271 776070 
35400022186 16062414451 1448311 777785 
35500029007 16098488827 1455701 779617 
35600029455 16134498060 1462859 781437 
35700030948 16170540765 1470458 783316 
35800027273 16206564165 1477946 785058 
35900029431 16242544590 1484776 786654 
36000029946 16278535663 1491448 788119 
36100023842 16314542811 1498314 789689 
36200030901 16350557770 1505357 791394 
36300026505 16386551601 1512652 793101 
36400029542 16422570819 1519892 794876 
36500030242 16458540439 1526870 796444 
36600028850 16494527425 1534094 798053 
36700021337 16530465913 1540760 799542 
36800025967 16566407250 1547795 801068 
36900023485 16602303503 1554742 802659 
37000031006 16638218111 1561463 804180 
37100027966 16673695065 1565114 804966 
37200031072 16708468528 1565141 804972 
37300034889 16772616925 1567500 806859 
37400025574 16830879223 1578778 816002 
37500028918 16872616736 1579175 816073 
37600029714 16913715902 1588049 821866 
37700029536 16950384618 1588052 821868 
37800029715 16986437054 1588052 821868 
37900031683 17022503699 1588052 821868 
38000031073 17058649355 1588054 821869 
38100031073 17094896767 1588055 821870 
38200019305 17134744950 1595640 827679 
38300028592 17176376626 1596191 827801 
38400028417 17218380250 1605426 834601 
38500030623 17253308465 1605426 834601 
38600030650 17288120307 1605426 834601 
38700030210 17322999553 1605426 834601 
38800030316 17366544629 1606811 835506 
38900046165 17394245490 1607665 836067 
39000022232 17424412231 1612478 840028 
39100006847 17482384843 1614053 840685 
39200007424 17539704213 1615163 841130 
39300013710 17598547891 1616382 841644 
39400013453 17666508434 1617054 841753 
39500012318 17746670925 1617112 841762 
39600013920 17826184798 1617212 841798 
39700015172 17906754118 1617317 841834 
39800012127 17987292717 1617381 841859 
39900014372 18067906028 1617499 841900 
40000014132 18149967427 1617648 841944 
40100014505 18230490628 1617763 841989 
40200014324 18309944478 1617854 842024 
40300011248 18390132585 1617930 842052 
40400014010 18470931880 1618067 842089 
40500012853 18550279502 1618118 842103 
40600013736 18629391668 1618182 842121 
40700013638 18708482266 1618251 842138 
40800012707 18787807808 1618291 842158 
40900007884 18866682531 1618364 842192 
41000015268 18946870082 1618449 842224 
41100013815 19026754083 1618546 842256 
41200031661 19180168328 1647557 858574 
41300011635 19246747060 1683324 883308 
41400027364 19347039438 1694232 894061 
41500028157 19389208801 1694735 894263 
41600025225 19432356813 1705737 903925 
41700010835 19470531816 1706943 904972 
41800031599 19508335437 1706984 905001 
41900031396 19546386125 1706985 905001 
42000031105 19584665056 1706988 905002 
42100031608 19623019322 1706991 905005 
42200032827 19660693644 1707064 905062 
42300031905 19697961426 1707066 905064 
42400030868 19735402018 1707073 905071 
42500031870 19772734139 1707078 905075 
42600031545 19810219420 1707083 905080 
42700031523 19847823229 1707087 905082 
42800284029 19885433980 1707093 905086 
42900030627 19922957017 1707106 905090 
43000031917 19960493759 1707112 905095 
43100031291 19998005872 1707114 905097 
43200031308 20035632233 1707127 905103 
43300031196 20073264540 1707137 905105 
43400031182 20110952023 1707144 905108 
43500030968 20148555398 1707161 905114 
43600031708 20186291009 1707173 905119 
43700026156 20224058582 1707177 905122 
43800012223 20261869511 1707180 905125 
43900031797 20299702945 1707183 905128 
44000031679 20337588809 1707185 905129 
44100002806 20376137292 1708485 906428 
44200019299 20452716964 1709144 907036 
44300011047 20535694804 1709149 907037 
44400013535 20622834360 1709153 907037 
44500025034 20687458642 1718779 913220 
44600021887 20737117899 1726536 915213 
44700021704 20786415542 1733883 916950 
44800023595 20835642719 1740999 918636 
44900022673 20885187236 1748908 920523 
45000022746 20934516812 1756176 922242 
45100028651 20980881414 1771115 932999 
45200027926 21022609341 1771457 933095 
45300025561 21065147989 1780478 940296 
45400031122 21108628478 1794411 948225 
45500031440 21146224273 1794468 948241 
45600026486 21181647334 1794469 948241 
45700030622 21217041960 1794469 948241 
45800030903 21252468322 1794469 948241 
45900029592 21287864773 1794470 948241 
46000030148 21323581020 1794472 948241 
46100028417 21362265114 1794594 948317 
46200037934 21395247415 1794629 948326 
46300028255 21427538244 1794631 948328 
46400027592 21461899122 1794670 948341 
46500029048 21494655116 1794671 948342 
46600028004 21527619621 1794671 948342 
46700025197 21565403638 1801039 951884 
46800020710 21606132547 1801200 951978 
46900045312 21651597137 1801595 952250 
47000036413 21678513072 1802341 952652 
47100033242 21709647647 1806712 955623 
47200027720 21752744991 1815733 963853 
47300028551 21794474405 1816098 963938 
47400018930 21839075816 1832082 973791 
47500018321 21880516987 1832495 973864 
47600024027 21927188264 1854822 985010 
47700030668 21962960713 1856070 985437 
47800022971 21999347885 1860814 986600 
47900030304 22035205203 1861994 986929 
48000030280 22070598673 1862081 986943 
48100032504 22105859367 1862160 986949 
48200029129 22141019064 1862203 986955 
48300030734 22177257643 1867729 988419 
48400025883 22213781271 1874861 990045 
48500031408 22250240991 1882019 991598 
48600027078 22286635353 1888834 993074 
48700030349 22322909149 1895609 994432 
48800031337 22359331627 1902510 996011 
48900028833 22395726840 1909183 997576 
49000030623 22432161057 1916218 999250 
49100029870 22468393192 1922928 1000690 
49200032008 22504783429 1929708 1002136 
49300029043 22541120526 1936482 1003579 
49400029490 22577331919 1943009 1004997 
49500024361 22613677002 1949984 1006401 
49600030315 22650036988 1957055 1007922 
49700032081 22686470419 1964609 1009586 
49800019591 22722714769 1971457 1010986 
49900028381 22759074625 1978220 1012278 
50000029891 22795444746 1984874 1013553 
50100020738 22831798590 1991536 1014955 
50200026224 22868178068 1998410 1016506 
50300025135 22904614936 2005593 1018229 
50400030116 22941127984 2012627 1019929 
50500028598 22977484072 2019380 1021413 
50600028775 23013571185 2024713 1022715 
50700028885 23049786999 2030604 1023996 
50800022470 23086127309 2037890 1025679 
50900024270 23122329621 2045225 1027156 
51000030894 23158377861 2051086 1028274 
51100019880 23194563307 2057736 1029584 
51200030452 23230827879 2064624 1031188 
51300027268 23266841918 2070497 1032498 
51400030610 23302902765 2076927 1033835 
51500030682 23338149762 2078132 1034067 
51600031540 23373130422 2078137 1034072 
51700029587 23408325470 2078206 1034094 
51800005790 23445437365 2078299 1034156 
51900011153 23504006048 2081319 1036681 
52000027967 23582838035 2097543 1051085 
52100028360 23624567174 2098009 1051193 
52200031729 23666847831 2108396 1058612 
52300019590 23703907102 2108476 1058667 
52400027868 23740029578 2108477 1058668 
52500027749 23776163375 2108477 1058668 
52600031301 23812369382 2108479 1058668 
52700029923 23848526332 2108481 1058668 
52800030808 23885880114 2108482 1058668 
52900127536 23925598019 2117236 1065916 
53000028849 23967275331 2117657 1066021 
53100029442 24009258619 2129077 1074855 
53200029028 24044324153 2129077 1074855 
53300029246 24079305265 2129078 1074856 
53400030557 24114319611 2129078 1074856 
53500013970 24154699608 2129220 1074936 
53600045161 24192942882 2131927 1076986 
53700035869 24220523063 2133134 1077817 
53800049929 24246704656 2133472 1077919 
53900036045 24275014570 2133763 1078017 
54000021423 24326457543 2140289 1083490 
54100006747 24383945141 2141435 1083913 
54200022555 24442864235 2142756 1084445 
54300028745 24500727941 2144155 1085033 
54400012988 24566448280 2145316 1085344 
54500012106 24647433229 2145344 1085353 
54600014066 24726913338 2145433 1085385 
54700011884 24807579348 2145541 1085425 
54800013146 24888172195 2145647 1085460 
54900012301 24968876441 2145783 1085506 
55000012861 25051016243 2145946 1085553 
55100011842 25132398861 2146071 1085595 
55200011891 25213162310 2146199 1085629 
55300014482 25293689867 2146292 1085653 
55400014691 25374518012 2146424 1085699 
55500011410 25454320286 2146509 1085733 
55600013627 25534022645 2146594 1085763 
55700014306 25614096086 2146683 1085784 
55800014419 25693850465 2146770 1085805 
55900013220 25773349310 2146911 1085834 
56000010776 25853142256 2147002 1085862 
56100011850 25932974195 2147106 1085887 
56200014022 26012884008 2147234 1085927 
56300013518 26092498147 2147328 1085952 
56400014656 26171804094 2147459 1085987 
56500013608 26250935923 2147522 1086007 
56600011992 26331093352 2147622 1086043 
56700014697 26412045772 2147745 1086080 
56800013691 26492282887 2147828 1086108 
56900005324 26682074302 2192106 1114246 
57000007559 26747389252 2241112 1147265 
57100016565 26822470283 2241149 1147266 
57200029295 26926539773 2251432 1157484 
57300029222 26967641543 2251807 1157563 
57400030797 27009572667 2262765 1167301 
57500031375 27047314091 2262918 1167400 
57600031830 27085280428 2262927 1167408 
57700028682 27123441207 2262928 1167409 
57800029017 27161906039 2262933 1167411 
57900010872 27199769447 2262991 1167453 
58000009771 27237110584 2263002 1167463 
58100031328 27274619126 2263005 1167465 
58200029918 27312016292 2263013 1167472 
58300031643 27349565393 2263017 1167474 
58400009185 27387315552 2263022 1167478 
58500010047 27424935695 2263024 1167480 
58600029863 27462663664 2263028 1167484 
58700030153 27500270571 2263033 1167488 
58800031434 27537781336 2263035 1167490 
58900030609 27575529523 2263042 1167492 
59000030862 27613297953 2263045 1167493 
59100009098 27650984913 2263049 1167495 
59200031496 27688709290 2263056 1167502 
59300010197 27726536867 2263062 1167505 
59400028857 27764392554 2263065 1167507 
59500031083 27802371858 2263068 1167508 
59600028358 27840402582 2263073 1167511 
59700026553 27878488383 2263077 1167515 
59800030730 27916528855 2263078 1167516 
59900026951 27954667066 2263079 1167517 
60000030852 27992765501 2263083 1167521 
60100031254 28030829767 2263087 1167525 
60200030458 28068815720 2263089 1167527 
60300031810 28106740429 2263090 1167528 
60400020203 28146196040 2265195 1169595 
60500012388 28223518568 2265831 1170201 
60600010502 28306899869 2265833 1170201 
60700010845 28396310462 2265839 1170201 
60800012323 28485778641 2265841 1170201 
60900023156 28563044625 2273635 1177032 
61000022411 28612592622 2280604 1181452 
61100022653 28662250640 2288111 1185647 
61200024568 28711908457 2295665 1189565 
61300024900 28761616800 2303257 1193543 
61400021166 28811270933 2310790 1197287 
61500024363 28860913387 2318121 1200838 
61600021581 28910449116 2325646 1204469 
61700003730 28959613322 2332471 1207611 
61800018520 29005717129 2347325 1218769 
61900019346 29047155475 2347779 1218953 
62000013718 29088640844 2348435 1219393 
62100034319 29135074205 2369769 1231353 
62200027282 29173382453 2369841 1231395 
62300029103 29209236996 2369905 1231411 
62400033589 29244648470 2369911 1231411 
62500030319 29280039357 2369913 1231411 
62600036529 29315446564 2369914 1231411 
62700031634 29351114622 2369923 1231412 
62800027213 29387131323 2369924 1231412 
62900022136 29427131614 2370099 1231511 
63000039196 29459788918 2370110 1231521 
63100028425 29492397425 2370114 1231524 
63200033668 29527517085 2370213 1231570 
63300030952 29560629443 2370214 1231571 
63400033886 29593950249 2370215 1231572 
63500029849 29631653351 2375734 1234670 
63600027358 29670015791 2378286 1236863 
63700018564 29717128465 2378584 1237043 
63800035807 29756668307 2379237 1237478 
63900049886 29784245847 2380569 1238323 
64000034829 29810468854 2380897 1238432 
64100036712 29838619301 2381153 1238532 
64200027868 29876245712 2391671 1247450 
64300024745 29918153389 2391902 1247583 
64400024361 29960946708 2397626 1250351 
64500019426 30004424472 2408481 1257308 
64600019266 30045855693 2408824 1257387 
64700030599 30091235179 2430656 1267687 
64800030471 30127105355 2433317 1268658 
64900031752 30163733461 2438158 1269891 
65000030705 30199194879 2438643 1269918 
65100025382 30234443620 2439053 1269951 
65200031189 30269624868 2439551 1269973 
65300030397 30304797921 2440298 1270246 
65400024137 30341729352 2447255 1272019 
65500021249 30378649620 2453821 1273497 
65600027887 30415478006 2460323 1275103 
65700040520 30452368147 2466764 1276588 
65800030735 30489262416 2473081 1278054 
65900030216 30526067613 2479427 1279417 
66000024123 30562916881 2486187 1280930 
66100026645 30599820957 2492765 1282431 
66200030189 30636766916 2499344 1284111 
66300030526 30673725883 2505478 1285668 
66400031593 30710642049 2511940 1287002 
66500028566 30747640403 2518592 1288483 
66600029865 30784579877 2525277 1290094 
66700021880 30821521106 2532183 1291721 
66800030200 30858479468 2538811 1293356 
66900032152 30895446253 2545383 1294965 
67000030518 30932451357 2551953 1296605 
67100030789 30969396899 2558433 1297974 
67200028606 31006315761 2564566 1299428 
67300022928 31043206139 2570940 1300909 
67400030513 31080217564 2577233 1302434 
67500020722 31117107908 2583374 1303728 
67600028493 31153594294 2587743 1304840 
67700030036 31190439813 2594542 1306383 
67800027621 31227085611 2599686 1307675 
67900023695 31264040284 2606570 1309232 
68000025435 31301069104 2613432 1310724 
68100021639 31337617750 2618494 1311940 
68200021192 31374590916 2624953 1313529 
68300030015 31411245306 2630194 1314845 
68400029827 31448122789 2636387 1316102 
68500028756 31484873588 2641916 1317167 
68600029041 31519828752 2641968 1317169 
68700030799 31554728066 2642009 1317172 
68800029299 31589672949 2642070 1317174 
68900031210 31624618317 2642136 1317178 
69000030505 31659574079 2642193 1317183 
69100032622 31694521829 2642244 1317185 
69200031820 31729526919 2642390 1317202 
69300030347 31764394745 2642509 1317215 
69400035479 31804565394 2646438 1320542 
69500007649 31886452237 2648096 1321921 
69600028144 31954569606 2665768 1337871 
69700028568 31996384487 2666121 1337972 
69800030742 32037626394 2676556 1345477 
69900028647 32074191526 2676634 1345506 
70000031294 32110289782 2676634 1345506 
70100023453 32146431836 2676634 1345506 
70200028419 32182644230 2676635 1345506 
70300023025 32219217633 2676637 1345508 
70400030701 32256481271 2676639 1345508 
70500020043 32293834999 2676646 1345510 
70600028066 32335811239 2685523 1352938 
70700027767 32377612418 2685760 1352999 
70800031048 32416214613 2696361 1361161 
70900031837 32450906199 2696361 1361161 
71000030678 32485607760 2696361 1361161 
71100029253 32520448831 2696361 1361161 
71200012830 32566878827 2696456 1361208 
71300035706 32601128565 2700913 1364419 
71400037432 32629073626 2702206 1365298 
71500037867 32655525658 2702518 1365411 
71600036836 32682145774 2702707 1365484 
71700026485 32715248636 2708612 1370916 
71800017170 32769344254 2709851 1371308 
71900009257 32829021189 2711129 1371818 
72000010452 32886777540 2712421 1372320 
72100004632 32949481195 2713989 1373077 
72200011869 33009122408 2716061 1373825 
72300013886 33091083881 2716065 1373825 
72400014116 33171091690 2716170 1373863 
72500012753 33251206653 2716260 1373891 
72600010824 33332078672 2716356 1373924 
72700013936 33412896489 2716506 1373971 
72800009481 33494767099 2716644 1374023 
72900011979 33575592902 2716764 1374060 
73000010886 33656682254 2716919 1374093 
73100012093 33737742334 2717077 1374125 
73200013392 33817899617 2717175 1374157 
73300010049 33897444685 2717275 1374177 
73400013625 33976946696 2717377 1374207 
73500008552 34056901119 2717513 1374236 
73600014125 34136574361 2717632 1374269 
73700011900 34216247950 2717751 1374290 
73800011830 34296358585 2717866 1374321 
73900015012 34376621412 2718019 1374358 
74000013260 34456572773 2718107 1374382 
74100012820 34536115813 2718193 1374410 
74200010076 34616748891 2718338 1374440 
74300011277 34697720612 2718503 1374486 
74400013850 34778850870 2718634 1374524 
74500011473 34859932722 2718768 1374560 
74600015322 34941607722 2718934 1374599 
74700010794 35022505646 2719076 1374635 
74800014156 35102461592 2719168 1374668 
74900012900 35182195992 2719254 1374696 
75000014369 35262024360 2719327 1374722 
75100032096 35453680935 2771414 1410772 
75200013848 35518434916 2833958 1455709 
75300010380 35594637649 2834006 1455712 
75400027588 35710380942 2845342 1467011 
75500028371 35752142674 2845810 1467074 
75600030934 35794490390 2855743 1475786 
75700014695 35832166071 2855757 1475800 
75800010745 35870167554 2855772 1475814 
75900021222 35908549450 2855778 1475818 
76000029675 35946691278 2855784 1475823 
76100031076 35983931066 2855926 1475955 
76200030449 36021322019 2855929 1475957 
76300029707 36058655155 2855932 1475960 
76400031607 36096078108 2855939 1475966 
76500026664 36133523319 2855943 1475970 
76600010025 36171012086 2855946 1475972 
