401.bzip2.3,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.920030195,285.013709432,161.239230944,446.252940376
DCUI,0.755353636,275.509312773,159.595540673,435.104853446
DCUP,0.808195406,305.616206857,156.918073723,462.53428058
L2A,0.872013494,298.82919082,159.978716056,458.807906876
L2P,0.795423534,294.908974688,161.041775506,455.950750194
Todos,0.715494324,304.146786082,162.452517473,466.599303555
403.gcc.7,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,2.002053648,829.534801214,242.123060657,1071.657861871
DCUI,1.774272175,869.320824397,220.831598717,1090.152423114
DCUP,1.786041411,960.636965567,230.697347637,1191.334313204
L2A,1.796062583,1084.096057906,213.815738616,1297.911796522
L2P,1.073120201,1307.293091196,205.92282547,1513.215916666
Todos,0.918594358,1427.349734457,218.572710641,1645.922445098
410.bwaves.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.955230788,946.185339797,92.88704591,1039.072385707
DCUI,0.776037359,947.260568645,92.55890852,1039.819477165
DCUP,0.915926401,946.78412885,93.004169873,1039.788298723
L2A,0.877357328,947.112157445,92.69938164,1039.811539085
L2P,0.454280221,948.584303911,92.50032455,1041.084628461
Todos,0.438284948,948.398444596,92.52258595,1040.921030546
429.mcf.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,5.017439886,3787.905507579,616.821188636,4404.726696215
DCUI,4.46364923,3987.14597597,659.093081054,4646.239057024
DCUP,4.944656709,4018.890540646,650.835338687,4669.725879333
L2A,4.885579514,4113.192357796,615.260233392,4728.452591188
L2P,3.916841226,4213.106253716,618.359389242,4831.465642958
Todos,3.850223957,4561.303451827,667.302747608,5228.606199435
433.milc.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.914526157,1566.426420498,560.147403745,2126.573824243
DCUI,1.749246278,1566.456378036,562.444709141,2128.901087177
DCUP,1.667902238,1778.6846994,563.544698193,2342.229397593
L2A,1.825931177,1637.75585071,561.870948915,2199.626799625
L2P,1.542147612,1880.782109934,562.310709836,2443.09281977
Todos,1.407543954,2165.441465424,561.980678652,2727.422144076
434.zeusmp.1,,,,
#Prefetch,CPI,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.774936159,324.000685315,118.846877158,442.847562473
DCUI,0.642901676,328.163712665,118.920329382,447.084042047
