,SpeedUp Max LLC SIZE,SpeedUp Prefetching
401.bzip2.3,1.72549019607843,1.18918918918919
403.gcc.7,1.80909090909091,2.13978494623656
410.bwaves.1,1.01052631578947,2.18181818181818
429.mcf.1,1.84727272727273,1.33333333333333
433.milc.1,1.05494505494506,1.35211267605634
434.zeusmp.1,1.04,1.44444444444444
436.cactusADM.1,1.26388888888889,1.08333333333333
437.leslie3d.1,1.18367346938776,2.76190476190476
447.dealII.1,1.10769230769231,1.46938775510204
450.soplex.2,1.10917030567686,3.02380952380952
459.GemsFDTD.1,1.02877697841727,2.16666666666667
462.libquantum.1,1.19672131147541,2.31746031746032
470.lbm.1,1.14893617021277,2.45454545454545
471.omnetpp.1,1.796875,1.03139013452915
473.astar.1,1.53333333333333,1.08053691275168
481.wrf.1,1.15189873417722,2.16666666666667
482.sphinx3.1,2.19402985074627,2.49152542372881
483.xalancbmk.1,1.70967741935484,1.34177215189873
