Benchmark,MPKI1,MPKI2,MPKI3
500.perlbench_r.1,7.22,0.49,0.01
500.perlbench_r.2,17.07,0.04,0.02
500.perlbench_r.3,6.16,1.53,0.11
502.gcc_r.1,25.1,2.28,0.31
502.gcc_r.2,24.32,3.02,0.45
502.gcc_r.3,27.32,2.49,0.29
502.gcc_r.4,26.15,4.49,1.99
502.gcc_r.5,42.34,3.82,1.49
503.bwaves_r.1,12.28,0.1,0.08
503.bwaves_r.2,16.03,0.13,0.11
503.bwaves_r.3,14.25,0.12,0.1
503.bwaves_r.4,13.07,0.11,0.09
505.mcf_r.1,59.27,16.98,6.04
507.cactuBSSN_r.1,118.76,5.47,1.82
508.namd_r.1,17.31,0.04,0.01
510.parest_r.1,33.36,1.25,0.04
511.povray_r.1,26.31,0,0
519.lbm_r.1,49.11,0.08,0.04
520.omnetpp_r.1,33.98,11.9,3.49
521.wrf_r.1,11.1,0.31,0.09
523.xalancbmk_r.1,45.03,2.35,0.12
525.x264_r.2,4.03,0.11,0.06
525.x264_r.3,4.46,0.04,0.02
525.x264_r.4,3.97,0.04,0.02
526.blender_r.1,7.77,0.91,0.13
527.cam4_r.1,18.79,0.94,0.08
531.deepsjeng_r.1,3.61,0.42,0.25
538.imagick_r.1,6.1,0.02,0
541.leela_r.1,4.51,0.1,0
544.nab_r.1,9.35,0.02,0.01
548.exchange2_r.1,0.09,0,0
549.fotonik3d_r.1,34.13,4.3,3.78
554.roms_r.1,27.32,0.92,0.47
557.xz_r.1,13.73,4.86,1.19
557.xz_r.2,9.58,0.71,0.1
557.xz_r.3,8.05,1.74,0.36
600.perlbench_s.1,7.26,0.5,0.01
600.perlbench_s.2,17.78,0.04,0.02
600.perlbench_s.3,6.69,1.53,0.11
602.gcc_s.1,42.81,1.59,0.36
602.gcc_s.2,28.25,2.04,0.2
602.gcc_s.3,24.64,2.32,0.26
605.mcf_s.1,74.58,30.47,7.37
620.omnetpp_s.1,32.35,11.28,3.5
623.xalancbmk_s.1,45.11,2.34,0.11
625.x264_s.1,3.98,0.11,0.05
625.x264_s.2,4.34,0.04,0.02
625.x264_s.3,3.87,0.04,0.02
631.deepsjeng_s.1,3.5,0.27,0.25
641.leela_s.1,4.47,0.1,0
648.exchange2_s.1,0.1,0,0
