,MPKI,,,,,,APKI,,,,,,CPI,,,,,
Benchmark,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All,None,DCUI,DCUP,L2A,L2P,All
454.calculix.1,0.14,0.05,0.07,0.12,0.05,0.03,0.64,0.22,0.37,0.46,0.13,0.09,0.52,0.51,0.51,0.51,0.50,0.50
456.hmmer.1,0.01,0.00,0.00,0.00,0.00,0.00,2.38,0.89,1.65,1.36,0.12,0.07,0.37,0.37,0.37,0.37,0.36,0.36
456.hmmer.2,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.33,0.82,0.64,0.05,0.02,0.38,0.37,0.38,0.38,0.37,0.38
458.sjeng.1,0.29,0.28,0.29,0.28,0.28,0.29,0.43,0.43,0.43,0.43,0.42,0.42,0.56,0.56,0.56,0.56,0.56,0.56
459.GemsFDTD.1,15.90,5.83,10.01,11.01,4.06,2.80,18.78,6.85,11.89,12.82,4.37,3.10,1.39,1.02,1.27,1.20,0.71,0.64
462.libquantum.1,14.55,3.39,9.03,14.62,7.03,2.45,32.22,7.11,20.07,30.66,7.40,2.63,1.22,1.14,1.23,1.23,0.58,0.58
464.h264ref.1,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.81,0.91,1.21,0.39,0.28,0.34,0.33,0.33,0.34,0.33,0.33
464.h264ref.2,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.54,0.60,0.70,0.23,0.19,0.40,0.40,0.40,0.40,0.40,0.40
464.h264ref.3,0.03,0.01,0.02,0.03,0.02,0.01,0.83,0.58,0.67,0.71,0.28,0.22,0.39,0.39,0.39,0.39,0.38,0.38
465.tonto.1,0.03,0.01,0.01,0.02,0.01,0.01,2.23,1.00,1.18,1.75,0.31,0.30,0.46,0.44,0.45,0.45,0.44,0.43
470.lbm.1,16.69,10.70,15.38,11.42,3.08,3.01,31.63,25.58,30.26,19.15,4.68,4.62,1.41,1.14,1.39,1.30,0.62,0.60
471.omnetpp.1,3.63,3.87,4.18,3.84,4.41,5.12,22.83,22.56,22.24,22.75,22.86,22.11,1.28,1.31,1.33,1.30,1.36,1.43
473.astar.1,0.54,0.41,0.51,0.48,0.42,0.40,12.45,10.90,11.85,12.19,11.87,10.72,1.05,1.01,1.04,1.04,1.03,1.01
473.astar.2,0.01,0.00,0.01,0.01,0.01,0.01,3.46,3.12,3.24,3.23,3.07,2.99,0.91,0.90,0.90,0.90,0.90,0.91
481.wrf.1,4.00,1.34,2.04,2.93,0.51,0.37,6.41,1.96,3.28,4.59,0.69,0.52,0.79,0.54,0.67,0.68,0.42,0.41
482.sphinx3.1,0.01,0.00,0.00,0.00,0.00,0.00,12.32,3.07,7.90,8.76,3.47,2.05,0.67,0.45,0.60,0.60,0.47,0.43
483.xalancbmk.1,0.55,0.56,0.55,0.53,0.55,0.59,9.19,5.86,8.32,7.89,4.99,4.63,0.62,0.55,0.61,0.60,0.55,0.55
