#PERF_COUNT_HW_INSTRUCTIONS #PERF_COUNT_HW_CACHE_LL_ACCESS_R #PERF_COUNT_HW_CACHE_LL_MISS_R 
19900027968 9271558 7513297 
20000022416 9355932 7585672 
20100025112 9380738 7607672 
20200029724 9412535 7633868 
20300023295 9483795 7684502 
20400030313 9527326 7725037 
20500033430 9556525 7751664 
20600027500 9604141 7778056 
20700031669 9680506 7849449 
20800027280 9706849 7873064 
20900027665 9747340 7899978 
21000030562 9832242 7972857 
21100020393 9856322 7994017 
21200027575 9887349 8020782 
21300025123 9960240 8072041 
21400034106 10001766 8110629 
21500033101 10029894 8136207 
21600023052 10078105 8162788 
21700031294 10153487 8233089 
21800028292 10179463 8256391 
21900025869 10217889 8282768 
22000031681 10304818 8356289 
22100028693 10327788 8376501 
22200028908 10358126 8403324 
22300027565 10432194 8454276 
22400037057 10475699 8494692 
22500029047 10503570 8520136 
22600028450 10549920 8546058 
22700027872 10626993 8617568 
22800026818 10654257 8641941 
22900026407 10693925 8669289 
23000032996 10781744 8742314 
23100016891 10804489 8762348 
23200017378 10833699 8788980 
23300001955 10897675 8831237 
23400036236 10951763 8880501 
23500022949 10979406 8905747 
23600024713 11024852 8931146 
23700028459 11102513 9002525 
23800033210 11129512 9026848 
23900026119 11166031 9052939 
24000032502 11255331 9126307 
24100019322 11275970 9144401 
24200017328 11304156 9170034 
24300024622 11345812 9190669 
24400030952 11425278 9264302 
24500027085 11453032 9289624 
24600024039 11497607 9315871 
24700034805 11576372 9387023 
24800027961 11601125 9409195 
24900022271 11636142 9434700 
25000016001 11725118 9507706 
25100017983 11745174 9525223 
25200015932 11775319 9552691 
25300023460 11819859 9575755 
25400030899 11896368 9646774 
25500024994 11923484 9671429 
25600024064 11966350 9697287 
25700028417 12047099 9769878 
25800029630 12071899 9791883 
25900025122 12106625 9818323 
26000012787 12196719 9889569 
26100017223 12217257 9907327 
26200016830 12246684 9933931 
26300023197 12292507 9959015 
26400032878 12369741 10031327 
26500020560 12396815 10055705 
26600023753 12438186 10083644 
26700032496 12523348 10156673 
26800027962 12546908 10177463 
26900025685 12578448 10204008 
27000022633 12651643 10254877 
27100034851 12695158 10295269 
27200033689 12724666 10322176 
27300020748 12770963 10348005 
27400021573 12847155 10419204 
27500036780 12874313 10443650 
27600029239 12913092 10469021 
27700029021 12999558 10542215 
27800028181 13024140 10563883 
27900028116 13054824 10591002 
28000023182 13128830 10642231 
28100038820 13171603 10682072 
28200037564 13200298 10708223 
28300028491 13248517 10734816 
28400025341 13323801 10805297 
28500034176 13348980 10828054 
28600027008 13386077 10853855 
28700030394 13473634 10927304 
28800005659 13494794 10945646 
28900018474 13527504 10975102 
29000010079 13605484 11028321 
29100036472 13648675 11068593 
29200026208 13678906 11095846 
29300022226 13725571 11122182 
29400031138 13803096 11192993 
29500026960 13829880 11217019 
29600028092 13868181 11244628 
29700032582 13956711 11318015 
29800019933 13978882 11337606 
29900016538 14007905 11363838 
30000024781 14051605 11385674 
30100029704 14130665 11458954 
30200026366 14157927 11483834 
30300023938 14202477 11510010 
30400028718 14280736 11581344 
30500023272 14306415 11604334 
30600022573 14341163 11629927 
30700011408 14431780 11703198 
30800017716 14452597 11721460 
30900017676 14482649 11748732 
31000025053 14526255 11771550 
31100029221 14604048 11843745 
31200023927 14630920 11868213 
31300023427 14675357 11895019 
31400024405 14755659 11966684 
31500022064 14781461 11989903 
31600024245 14818002 12017430 
31700018687 14906306 12088646 
31800018911 14926890 12106665 
31900017558 14956772 12133640 
32000021139 15002962 12159291 
32100028296 15081585 12232213 
32200021734 15109211 12257404 
32300030186 15152348 12283566 
32400029970 15233773 12355296 
32500029955 15257714 12376617 
32600028746 15292435 12404014 
32700010947 15377126 12470164 
32800038775 15399965 12490244 
32900034371 15428986 12516614 
33000025662 15477268 12543211 
33100027892 15554198 12615375 
33200026766 15580578 12639058 
33300017787 15619140 12665403 
33400027852 15705506 12738704 
33500030108 15729704 12759954 
33600021512 15762195 12788197 
33700022930 15836777 12839119 
33800035185 15879444 12878886 
33900035129 15908283 12905076 
34000024678 15954442 12931059 
34100032262 16029465 13001249 
34200030258 16056485 13025485 
34300028492 16096002 13052387 
34400027740 16182899 13125557 
34500017518 16204415 13144330 
34600014518 16234404 13171590 
34700010834 16310652 13223611 
34800038393 16355712 13265218 
34900021182 16384680 13291713 
35000017780 16429655 13317423 
35100025635 16506992 13388805 
35200026784 16532009 13411171 
35300022714 16570984 13438951 
35400028591 16660902 13513272 
35500016546 16681962 13531751 
35600017959 16712807 13559790 
35700026577 16753885 13580620 
35800032110 16834205 13654527 
35900022686 16861183 13679163 
36000026362 16906481 13705394 
36100032345 16985000 13776357 
36200026581 17010021 13798639 
36300020442 17046484 13824977 
36400015975 17134877 13897555 
36500019567 17156551 13916572 
36600017681 17185700 13943158 
36700027630 17230930 13966898 
36800034337 17309426 14039894 
36900020348 17339738 14067516 
37000027581 17383421 14093554 
37100029164 17463378 14165385 
37200019579 17489324 14188435 
