500.perlbench_r.3,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.713756647,1.928393905,1.547930354,100.978046288,7.556107693,108.534153981
DCUI,0.658922336,1.639751493,1.309520719,105.634399218,7.69349124,113.327890458
DCUP,0.691253466,1.821354439,1.456471129,107.465889511,8.216352577,115.682242088
L2A,0.699454922,1.887102313,1.500076037,107.120564705,7.758737904,114.879302609
L2P,0.700162886,1.842621022,1.488184324,121.419969879,8.783737391,130.20370727
Todos,0.644794766,1.558267,1.23778464,137.639379068,8.671873325,146.311252393
502.gcc_r.5,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,2.133638442,29.353852614,18.748610843,1382.913087573,969.863481607,2352.77656918
DCUI,1.941925434,26.744200096,16.860897028,1403.461049324,960.328972404,2363.790021728
DCUP,2.058212719,28.444296384,18.044373865,1392.881777487,975.983031202,2368.864808689
L2A,1.96802077,27.694499473,17.942607042,1457.465221161,957.527056161,2414.992277322
L2P,1.399891952,12.937770361,10.095263411,1618.027882812,968.425823672,2586.453706484
Todos,1.308255136,11.896155483,9.176252996,1664.29882904,976.321057078,2640.619886118
503.bwaves_r.3,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.764273386,9.858285546,9.738620696,629.719393768,94.058908104,723.778301872
DCUI,0.627513654,2.711558443,2.678480741,629.80730415,93.835591284,723.642895434
DCUP,0.731177071,8.050932092,7.954698879,629.832698521,93.896341478,723.729039999
L2A,0.704028296,8.140387142,8.05529275,630.136691072,94.05615959,724.192850662
L2P,0.46940285,0.357370715,0.334779888,631.707122542,93.712229317,725.419351859
Todos,0.457058818,0.174164394,0.159893282,632.045039024,93.715510404,725.760549428
505.mcf_r.1,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.955384202,34.29436263,25.789877141,1664.076692587,217.89654916,1881.973241747
DCUI,1.774656824,22.774984928,16.952507583,1653.260168723,217.392388963,1870.652557686
DCUP,1.93353546,31.966593978,23.55507767,1697.728990965,217.713480853,1915.442471818
L2A,1.891774562,33.579604204,25.143406745,1846.609239015,218.181526533,2064.790765548
L2P,1.519650427,21.816615985,15.350858871,2151.337667354,217.978102216,2369.31576957
Todos,1.486401591,17.745341933,12.202880911,2171.939156458,218.079531146,2390.018687604
507.cactuBSSN_r.1,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.013524602,8.857488057,8.352259411,539.813946273,154.281105569,694.095051842
DCUI,0.97168188,7.435243336,6.9364234,541.567242632,154.273670106,695.840912738
DCUP,0.980565862,7.762553279,7.269986755,540.518042244,154.457832147,694.975874391
L2A,0.994509169,8.550260607,8.036169323,540.563062155,154.542178178,695.105240333
L2P,0.906918661,6.466138535,5.980901836,546.761750035,154.468873173,701.230623208
Todos,0.889995776,6.108653637,5.660068552,556.569106098,154.808713392,711.37781949
510.parest_r.1,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.33648756,18.678959237,12.481620385,816.70619185,40.631928291,857.338120141
DCUI,0.920216882,4.214008021,2.382974207,874.077836861,41.065265081,915.143101942
DCUP,1.081564274,6.346308893,3.485094391,844.749323064,41.542649924,886.291972988
L2A,1.131752487,15.892832794,11.155631044,860.021326044,41.096832448,901.118158492
L2P,0.625885672,3.228554679,2.376213118,949.877867087,42.206528651,992.084395738
Todos,0.591204232,1.500410292,1.0278277,963.241604912,42.419517184,1005.661122096
511.povray_r.1,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,0.424074508,0.000726046,0.000275137,0.260304807,0.256760842,0.517065649
DCUI,0.423194661,0.000842977,0.000294868,0.262822365,0.267721408,0.530543773
DCUP,0.42846067,0.000721764,0.000283002,0.264418044,0.257191522,0.521609566
L2A,0.422480443,0.000857976,0.000295835,0.274165361,0.25697617,0.531141531
L2P,0.424556093,0.000673042,0.000274196,0.292066652,0.257625653,0.549692305
Todos,0.423595935,0.000698169,0.000269808,0.305801128,0.263099738,0.568900866
519.lbm_r.1,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.576012001,30.663207794,29.010647107,1865.241464734,1362.601440135,3227.842904869
DCUI,1.57920421,24.938107375,23.256795552,1865.636926682,1363.103301556,3228.740228238
DCUP,1.538793705,29.322045087,27.662556344,1865.712268276,1364.333219033,3230.045487309
L2A,1.362906806,18.675236613,17.668912837,1865.127807094,1362.545091323,3227.672898417
L2P,0.704049089,5.658942886,5.396351083,1880.746804546,1363.89101359,3244.637818136
Todos,0.697384947,5.589463728,5.329265265,1881.271854502,1363.38604333,3244.657897832
520.omnetpp_r.1,,,,,,
#Prefetch,CPI,MPKI2,MPKI3,BPKI_Read,BPKI_Write,BPKI_Total
Ninguno,1.817137572,14.185316993,11.304330014,731.982728155,302.997363153,1034.980091308
DCUI,1.810803932,14.051868025,11.226786984,735.643286096,303.079974141,1038.723260237
DCUP,1.805161728,13.947168361,11.136009504,811.740697348,307.21824479,1118.958942138
L2A,1.803320565,14.083561792,11.255195257,755.149160314,302.692040116,1057.84120043
L2P,1.798371422,14.047290696,11.171549038,827.211832086,306.315803771,1133.527635857
